subj_Cumulative_Error_Features,subj_Cumulative_Error_AvgSHAP,subj_Cumulative_Error_ZScore,subj_GlideSlope_Error_Features,subj_GlideSlope_Error_AvgSHAP,subj_GlideSlope_Error_ZScore,subj_Localizer_Error_Features,subj_Localizer_Error_AvgSHAP,subj_Localizer_Error_ZScore,subj_Airspeed_Error_Features,subj_Airspeed_Error_AvgSHAP,subj_Airspeed_Error_ZScore,all_Cumulative_Error_Features,all_Cumulative_Error_AvgSHAP,all_Cumulative_Error_ZScore,all_GlideSlope_Error_Features,all_GlideSlope_Error_AvgSHAP,all_GlideSlope_Error_ZScore,all_Localizer_Error_Features,all_Localizer_Error_AvgSHAP,all_Localizer_Error_ZScore,all_Airspeed_Error_Features,all_Airspeed_Error_AvgSHAP,all_Airspeed_Error_ZScore
pilot_head_yaw_deg-Mean,44.26801327,-0.424613698,gaze_direction_r_z_mm-AvgAbsDiff,30.58666548,-0.766062666,gaze_direction_r_z_mm-AvgAbsDiff,21.42132628,-0.455339513,pilot_head_yaw_deg-FPC1,29.69682397,-0.470538381,aircraft_aileron_trim-Median,51.77967107,-0.316331562,ecg_projection_ll_ra_mV-Max,21.05212156,-0.262698199,pilot_head_roll_deg-TimeMax,17.2247625,-0.472233986,aircraft_longitude_deg-MedAbsDev,29.20756002,-0.042067244
ecg_projection_vx_rl_mV-Kurt,38.06593079,-0.448092441,ecg_projection_la_ra_mV-Range,26.77301748,-0.868120053,eye_openness_r-Mean,20.79436102,-0.467579839,ecg_projection_ll_ra_mV-Skew,27.66477969,-0.632165173,pupil_position_l_y-AvgAbsDiff,44.6055405,-0.349540905,gaze_direction_r_z_mm-FPC2,20.81499096,-0.267999186,ecg_projection_ll_ra_mV-IQR,16.84421981,-0.479278847,gaze_origin_l_y_mm-AboveMean,27.97652771,-0.134361258
gaze_direction_r_z_mm-AvgAbsDiff,30.30600329,-0.477468596,,,,ecg_projection_ll_ra_mV-FPC1,16.36831774,-0.553990067,gaze_origin_l_y_mm-Mean,27.5336076,-0.642598471,accelerometry_forearm_r_y_mps2-MedAbsDev,42.24817315,-0.360453255,gaze_direction_r_z_mm-AvgAbsDiff,20.35068336,-0.278378652,aircraft_aileron_trim-FPC5,15.24017622,-0.508973974,emg_wrist_extensor_mV-PosCount,26.29622714,-0.260338199
,,,,,,pilot_head_position_h_m-IQR,15.10721356,-0.578610771,ecg_projection_la_ra_mV-Range,26.80626571,-0.700450525,ecg_projection_vx_rl_mV-Kurt,40.8559198,-0.366898053,aircraft_aileron_trim-FPC7,20.04780815,-0.285149341,eda_hand_l_kOhms-TimeAbsDiff,15.16433587,-0.510377981,pilot_head_pitch_deg-AboveMean,24.47789007,-0.396664131
,,,,,,ecg_projection_vx_rl_mV-Median,14.85800972,-0.58347601,pilot_head_roll_deg-FPC1,26.40023145,-0.732746089,ppg_finger_mV-SD,35.95908077,-0.389565721,aircraft_longitude_deg-MedAbsDev,17.52088854,-0.341637915,ecg_projection_ll_ra_mV-Mean,12.85319816,-0.553163307,accelerometry_forearm_r_y_mps2-FPC5,23.75305309,-0.451007234
,,,,,,gaze_origin_r_y_mm-AboveMean,13.56678498,-0.608684761,eda_hand_l_kOhms-Median,25.77078065,-0.782811983,aircraft_aileron_trim-FPC3,29.71255164,-0.418481159,ecg_projection_vx_rl_mV-Mean,16.55761726,-0.363171572,ecg_projection_ll_ra_mV-FPC1,10.56928492,-0.595444635,aircraft_longitude_deg-FPC2,20.07258268,-0.72694263
,,,,,,respiration_trace_mV-Max,9.685721305,-0.684455281,pupil_position_l_z-MedAbsDev,24.41776594,-0.890429434,ecg_projection_vx_rl_mV-Median,29.46277999,-0.419637362,ecg_projection_vx_rl_mV-Median,14.22429964,-0.415332228,aircraft_elevation_trim-Min,10.48407806,-0.597022041,gaze_origin_r_y_mm-MedAbsDev,19.81606,-0.74617487
,,,,,,pilot_head_yaw_deg-SD,8.565713252,-0.706321346,emg_wrist_extensor_mV-PosCount,21.95510613,-1.086306959,pilot_head_pitch_deg-FPC3,18.60280964,-0.469908609,ecg_projection_vx_rl_mV-Max,14.10269031,-0.41805077,gaze_origin_r_y_mm-AboveMean,8.807926304,-0.628052083,ecg_projection_ll_ra_mV-Skew,19.24943088,-0.788656676
,,,,,,,,,pilot_head_pitch_deg-AboveMean,13.78375814,-1.736247895,,,,ecg_projection_la_ra_mV-Skew,13.71783516,-0.426654098,ecg_projection_vx_rl_mV-Median,8.333495843,-0.636835056,eda_hand_l_kOhms-Max,17.49280884,-0.920355655
,,,,,,,,,,,,,,,aircraft_aileron_trim-Range,13.24160187,-0.437300159,,,,emg_wrist_extensor_mV-Mean,17.19233591,-0.94288297
,,,,,,,,,,,,,,,aircraft_elevation_trim-FPC3,13.05764504,-0.441412462,,,,eda_hand_l_kOhms-Median,16.5363385,-0.992064973
,,,,,,,,,,,,,,,pilot_head_roll_deg-NegCount,11.36003932,-0.479361958,,,,emg_wrist_extensor_mV-MedAbsDev,15.78997595,-1.048021909
,,,,,,,,,,,,,,,ecg_projection_vx_rl_mV-AvgAbsDiff,9.860041018,-0.512893996,,,,eda_hand_l_kOhms-Skew,14.3153587,-1.158578183
,,,,,,,,,,,,,,,aircraft_aileron_trim-Max,7.970756872,-0.555128409,,,,gaze_origin_r_x_mm-Max,8.051217437,-1.628218775
,,,,,,,,,,,,,,,aircraft_aileron_trim-Min,6.814338873,-0.580979806,,,,pilot_head_roll_deg-TimeMax,7.735594669,-1.651881917
